,close,date,high,low,open
81,83.26084,2023-10-12,83.29916,83.09286,83.13085
82,83.24416,2023-10-13,83.27916,83.17285,83.26084
83,83.17915,2023-10-16,83.28416,83.13786,83.25084
84,83.22916,2023-10-17,83.27166,83.13486,83.17915
85,83.26916,2023-10-18,83.29916,83.17385,83.25916
86,83.09114,2023-10-19,83.28916,83.04987,83.26116
87,83.13914,2023-10-20,83.20415,82.98787,83.11014
88,83.04086,2023-10-23,83.18915,83.03886,83.12014
89,82.99913,2023-10-24,83.06313,82.91988,83.01513
90,83.12914,2023-10-25,83.19165,82.96987,82.99913
91,83.21384,2023-10-26,83.25416,83.08686,83.11086
92,83.23584,2023-10-27,83.31916,83.15685,83.21384
93,83.23916,2023-10-30,83.27416,83.17485,83.24316
94,83.24516,2023-10-31,83.27916,83.18285,83.23916
95,83.20785,2023-11-01,83.30016,83.19085,83.24016
96,83.22315,2023-11-02,83.27416,83.13786,83.20785
97,83.12914,2023-11-03,83.29416,83.08986,83.20485
98,83.18885,2023-11-06,83.23084,83.03886,83.08014
99,83.21915,2023-11-07,83.27416,83.16185,83.18885
100,83.18985,2023-11-08,83.28416,83.16485,83.19984
101,83.30416,2023-11-09,83.31916,83.17585,83.18385
102,83.24384,2023-11-10,83.41917,83.18385,83.30416
103,83.19715,2023-11-13,83.34917,83.17185,83.27984
104,82.94388,2023-11-14,83.26216,82.86688,83.16915
105,83.15785,2023-11-15,83.19915,82.90988,82.96413
106,83.14114,2023-11-16,83.24416,83.10886,83.15186
107,83.23315,2023-11-17,83.28666,83.12286,83.14114
108,83.30483,2023-11-20,83.38918,83.21085,83.23016
109,83.25084,2023-11-21,83.36667,83.18785,83.25884
110,83.28116,2023-11-22,83.36417,83.23384,83.25084
111,83.27584,2023-11-23,83.35917,83.23885,83.28116
112,83.31084,2023-11-24,83.38918,83.27584,83.35167
113,83.31916,2023-11-27,83.39617,83.25884,83.31084
114,83.32916,2023-11-28,83.39917,83.25884,83.31916
115,83.34217,2023-11-29,83.34217,83.22784,83.32916
116,83.34617,2023-11-30,83.40417,83.25584,83.32283
117,83.24915,2023-12-01,83.36917,83.20885,83.32183
118,83.41217,2023-12-04,83.43217,83.18285,83.24915
119,83.31017,2023-12-05,83.41518,83.27684,83.41518
120,83.32317,2023-12-06,83.39167,83.24884,83.30516
121,83.31483,2023-12-07,83.37667,83.24834,83.30383
122,83.39683,2023-12-08,83.45918,83.30083,83.33817
123,83.37117,2023-12-11,83.42217,83.31084,83.35883
124,83.38617,2023-12-12,83.40617,83.30483,83.33217
125,83.32083,2023-12-13,83.41167,83.30383,83.38217
126,83.27784,2023-12-14,83.36167,83.23484,83.27116
127,82.96487,2023-12-15,83.33916,82.90588,83.27784
128,83.11485,2023-12-18,83.13314,82.89488,82.97913
129,83.07686,2023-12-19,83.21915,83.02187,83.11485
130,83.11185,2023-12-20,83.20115,83.06786,83.07786
131,83.18485,2023-12-21,83.28666,83.12814,83.12814
132,83.08986,2023-12-22,83.28666,83.06086,83.20515
133,83.13486,2023-12-25,83.16215,83.07686,83.13686
134,83.14986,2023-12-26,83.21665,83.07286,83.14414
135,83.23284,2023-12-27,83.35917,83.12885,83.14715
136,83.13985,2023-12-28,83.35417,83.10586,83.23384
137,83.17915,2023-12-29,83.22916,83.07786,83.15815
138,83.22615,2024-01-01,83.24915,83.11886,83.19835
139,83.24316,2024-01-02,83.35167,83.13586,83.15885
140,83.25384,2024-01-03,83.33916,83.20485,83.22285
141,83.23215,2024-01-04,83.32667,83.15985,83.25984
142,83.08414,2024-01-05,83.25516,83.03513,83.17685
